event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1998-06-15,1998,Violence against civilians,Attack,Oromia,Finfine Special,Sebeta town,Sebeta,8.9167,38.6167,0,"Ethiopian forces detain Eritreans, reports of beatings and assaults in internment camps",6
1998-06-19,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Heavy exchange of fire between Ethiopian and Eritrean forces,6
1998-06-20,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Heavy exchange of fire between Ethiopian and Eritrean forces,6
1998-06-24,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Brief exchange of fire between Ethiopian and Eritrean forces,6
1998-06-25,1998,Violence against civilians,Abduction/forced disappearance,Somali,Shabelle,Godey town,Gode,5.9506,43.5519,0,"'6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation for'",6
1998-06-30,1998,Violence against civilians,Abduction/forced disappearance,Somali,Jarar,Degahabur town,Degehabur,8.2206,43.5572,0,ICRC workers kidnapped in Ogaden area,6
1998-07-06,1998,Strategic developments,Change to group/activity,Oromia,Borena,Moyale,Moyale,3.5391,39.049,0,Movement of forces: OLF said to be active in Kenya near border with Ethiopia,7
1998-07-07,1998,Battles,Armed clash,Somali,Korahe,Shaygosh,Shekosh,7.3667,43.9167,0,Ethiopian army battles Al-Ittihad militia in effort to free hostages,7
1998-07-15,1998,Violence against civilians,Attack,Tigray,North Western Tigray,Tahtay Koraro,Shire,14.1383,38.2833,18,Eritrea accuses Ethiopia of killing civilian cattle breeders who entered Ethiopia from Eritrea and Sudan,7
1998-07-22,1998,Battles,Armed clash,South Ethiopia Region,Gedeo,Dila town,Dila,6.4167,38.3167,140,Ethnic clashes leave over 100 dead,7
1998-07-31,1998,Protests,Peaceful protest,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,0,Hundreds of thousands of women stage protests to support peace plan across Ethiopia,7
1998-09-15,1998,Strategic developments,Other,Gambela,Agnewak,Gambela town,Gambella,8.2503,34.5878,0,Non-violent activity: SPLA maintain office and base in Gambella; Ethiopian authorities announce they will close the office in October,9
1998-10-02,1998,Battles,Armed clash,Oromia,Jimma,Goma,Agaro,7.85,36.65,0,Clash between Evangelical and Orthodox Christian groups,10
1998-10-07,1998,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,North Western Tigray,Tahtay Adiyabo,Sheraro,14.4,37.9333,11,Ethiopia accuses Eritrea of shelling civilian targets,10
1998-10-08,1998,Violence against civilians,Attack,Gambela,Itang Special woreda,Itang,Itang,8.2,34.2667,2,Soldiers from Sudanese Independence Movement attack passenger car and kill civilians,10
1998-10-15,1998,Strategic developments,Change to group/activity,Oromia,East Hararge,Babile,Babile,9.2167,42.3333,0,Movement of forces: OLF said to be active in eastern region of Ethiopia,10
1998-10-15,1998,Strategic developments,Change to group/activity,Oromia,East Hararge,Fedis,Fedis,9.1394,42.0481,0,Movement of forces: OLF said to be active in eastern region of Ethiopia,10
