"Service","Project Geographic Location","","","","","","","","","","","","","","","","","","","","","",""
"Data Classification","Official Use Only","","","","","","","","","","","","","","","","","","","","","",""
"Data Extract As Of","25 February 2026 01:34 PM EST","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
PROJ_ID,GEO_LOC_ID,PLACE_ID,WBG_CNTRY_KEY,ISO_CNTRY_CODE,GEO_LOC_NME,GEO_LATITUDE_NBR,GEO_LONGITUDE_NBR,ADMIN_UNIT1_CODE,ADMIN_UNIT1_NAME,ADMIN_UNIT2_CODE,ADMIN_UNIT2_NAME,FEAT_CLASS_CODE,FEAT_CLASS_NAME,FEAT_CLASS_TEXT,FEAT_CODE,FEAT_NAME,POP_CNT,PROPOSED_IND,ACT_IND,SAP_UPD_DATE,SAP_UPD_USER_ID,UPD_DATE,LAST_CHGD_BY
P101556,444185,PLA0002444,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P107139,444185,PLA0002445,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P101556,444186,PLA0002446,,ET,Sumale Kilil,7.0,44.0,52,Somalia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P108932,444186,PLA0002447,,ET,Sumale Kilil,7.0,44.0,52,Somalia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P113220,444186,PLA0002448,,ET,Sumale Kilil,7.0,44.0,52,Somalia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P049395,444186,PLA0002449,,ET,Sumale Kilil,7.0,44.0,52,Somalia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P049395,444187,PLA0002450,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P099480,444187,PLA0002451,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P090789,444187,PLA0002453,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P082998,444187,PLA0002454,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P097271,444187,PLA0002455,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P091077,444187,PLA0002456,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P113220,444187,PLA0002457,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P120172,444187,PLA0002458,,ET,Tigray Kilil,14.16667,38.833328,53,Tigray Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P101474,343663,PLA0001715,,ET,Arba Minch',6.03333,37.549999,54,SSNPR,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P106872,343814,PLA0001716,,ET,Ankober,9.59624,39.73243,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
